chr1	3671398	3672498	Xkr4	0	-
chr1	4360214	4361314	Rp1	0	-
chr1	4409141	4410241	Rp1	0	-
chr1	4497254	4498354	Sox17	0	-
chr1	4497254	4498354	Sox17	0	-
chr1	4497254	4498354	Sox17	0	-
chr1	4497254	4498354	Sox17	0	-
chr1	4497254	4498354	Sox17	0	-
chr1	4785626	4786726	Mrpl15	0	-
chr1	4785626	4786726	Mrpl15	0	-
chr1	4785626	4786726	Mrpl15	0	-
chr1	4806822	4807922	Lypla1	0	+
chr1	4806822	4807922	Lypla1	0	+
chr1	4856693	4857793	Tcea1	0	+
chr1	4856693	4857793	Tcea1	0	+
chr1	4857327	4858427	Tcea1	0	+
chr1	5018634	5019734	Rgs20	0	-
chr1	5019439	5020539	Rgs20	0	-
chr1	5070185	5071285	Rgs20	0	-
chr1	5082085	5083185	Atp6v1h	0	+
chr1	5082085	5083185	Atp6v1h	0	+
chr1	5587492	5588592	Oprk1	0	+
chr1	5587492	5588592	Oprk1	0	+
chr1	5587492	5588592	Oprk1	0	+
chr1	5917298	5918398	Npbwr1	0	-
chr1	6213661	6214761	Rb1cc1	0	+
chr1	6358330	6359430	Alkal1	0	+
chr1	6486230	6487330	St18	0	+
chr1	6486230	6487330	St18	0	+
chr1	6729050	6730150	St18	0	+
chr1	6729050	6730150	St18	0	+
chr1	6729050	6730150	St18	0	+
chr1	7087919	7089019	Pcmtd1	0	+
chr1	9299777	9300877	Sntg1	0	-
chr1	9299777	9300877	Sntg1	0	-
chr1	9299777	9300877	Sntg1	0	-
chr1	9299777	9300877	Sntg1	0	-
chr1	9544407	9545507	Rrs1	0	+
chr1	9546947	9548047	Adhfe1	0	+
chr1	9546947	9548047	Adhfe1	0	+
chr1	9546947	9548047	Adhfe1	0	+
chr1	9546947	9548047	Adhfe1	0	+
chr1	9600266	9601366	Vxn	0	+
chr1	9630992	9632092	2610203C22Rik	0	-
chr1	9700109	9701209	Mybl1	0	-
chr1	9700109	9701209	Mybl1	0	-
chr1	9746647	9747747	1700034P13Rik	0	+
chr1	9748282	9749382	Vcpip1	0	-
chr1	9797129	9798229	Sgk3	0	+
chr1	9797129	9798229	Sgk3	0	+
chr1	9847280	9848380	Sgk3	0	+
chr1	9907637	9908737	Mcmdc2	0	+
chr1	9942443	9943543	Snord87	0	-
chr1	9944018	9945118	Snhg6	0	-
chr1	9967385	9968485	Tcf24	0	-
chr1	10009036	10010136	Ppp1r42	0	-
chr1	10009036	10010136	Ppp1r42	0	-
chr1	10037217	10038317	Cspp1	0	+
chr1	10038059	10039159	Cops5	0	-
chr1	10038059	10039159	Cops5	0	-
chr1	10038059	10039159	Cops5	0	-
chr1	10045492	10046592	Cspp1	0	+
chr1	10232570	10233670	Arfgef1	0	-
chr1	10719845	10720945	Cpa6	0	-
chr1	10719845	10720945	Cpa6	0	-
chr1	10865774	10866874	Mir467e	0	-
chr1	10992464	10993564	Prex2	0	+
chr1	11262962	11264062	Prex2	0	+
chr1	11413104	11414204	A830018L16Rik	0	+
